model_id,family,data,formula,n_obs,n_clusters,fitted,term,reference_level,coefficient,std_error,se_type,z,p_value,odds_ratio,or_ci_low,or_ci_high,converged,method,note
m3_pooled_plus_version_term,sensitivity_gold_v2,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category + prompt_version,1190,70,yes,language[en],zh-tw,-0.303449,0.602269,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",-0.503843,0.614371,0.738267,0.226758,2.403620,yes,logit_cluster_robust,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a sensitivity row; exploratory; p-values here are not BH-adjusted and are not part of any family"
m3_pooled_plus_version_term,sensitivity_gold_v2,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category + prompt_version,1190,70,yes,language[mixed],zh-tw,1.569376,0.795781,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",1.972121,0.048596,4.803651,1.009722,22.852900,yes,logit_cluster_robust,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a sensitivity row; exploratory; p-values here are not BH-adjusted and are not part of any family"
m3_pooled_plus_version_term,sensitivity_gold_v2,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category + prompt_version,1190,70,yes,difficulty[ambiguous],easy,-1.001112,0.860006,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",-1.164075,0.244394,0.367471,0.068106,1.982720,yes,logit_cluster_robust,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a sensitivity row; exploratory; p-values here are not BH-adjusted and are not part of any family"
m3_pooled_plus_version_term,sensitivity_gold_v2,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category + prompt_version,1190,70,yes,difficulty[edge],easy,-2.393108,0.810189,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",-2.953767,0.003139,0.091345,0.018666,0.447013,yes,logit_cluster_robust,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a sensitivity row; exploratory; p-values here are not BH-adjusted and are not part of any family"
m3_pooled_plus_version_term,sensitivity_gold_v2,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category + prompt_version,1190,70,yes,category[technical],billing,-0.392065,1.046507,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",-0.374642,0.707927,0.675660,0.086884,5.254325,yes,logit_cluster_robust,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a sensitivity row; exploratory; p-values here are not BH-adjusted and are not part of any family"
m3_pooled_plus_version_term,sensitivity_gold_v2,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category + prompt_version,1190,70,yes,category[general],billing,-1.477789,1.049006,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",-1.408751,0.158909,0.228142,0.029194,1.782872,yes,logit_cluster_robust,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a sensitivity row; exploratory; p-values here are not BH-adjusted and are not part of any family"
m3_pooled_plus_version_term,sensitivity_gold_v2,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category + prompt_version,1190,70,yes,category[account],billing,-0.052153,1.068651,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",-0.048803,0.961076,0.949183,0.116873,7.708818,yes,logit_cluster_robust,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a sensitivity row; exploratory; p-values here are not BH-adjusted and are not part of any family"
m3_pooled_plus_version_term,sensitivity_gold_v2,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category + prompt_version,1190,70,yes,prompt_version[v2a],v1,0.000000,0.197975,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",0.000000,1.000000,1.000000,0.678397,1.474064,yes,logit_cluster_robust,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a sensitivity row; exploratory; p-values here are not BH-adjusted and are not part of any family"
m3_pooled_plus_version_term,sensitivity_gold_v2,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category + prompt_version,1190,70,yes,prompt_version[v2b],v1,0.284086,0.186619,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",1.522276,0.127940,1.328547,0.921566,1.915257,yes,logit_cluster_robust,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a sensitivity row; exploratory; p-values here are not BH-adjusted and are not part of any family"
m3_pooled_plus_version_term,sensitivity_gold_v2,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category + prompt_version,1190,70,yes,prompt_version[v2c],v1,-0.723835,0.454112,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",-1.593959,0.110945,0.484889,0.199114,1.180818,yes,logit_cluster_robust,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a sensitivity row; exploratory; p-values here are not BH-adjusted and are not part of any family"
m3_pooled_plus_version_term,sensitivity_gold_v2,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category + prompt_version,1190,70,yes,prompt_version[v2d],v1,0.053104,0.120460,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",0.440844,0.659326,1.054539,0.832774,1.335361,yes,logit_cluster_robust,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a sensitivity row; exploratory; p-values here are not BH-adjusted and are not part of any family"
m4_firth_sparse_cell_sensitivity,sensitivity_gold_v2,,firth-penalised category_match ~ language + difficulty + category,,,no,(not run),,,,,,,,,,,firth_penalised_likelihood,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a sensitivity row; Firth penalised likelihood not run: no validated implementation is available here (statsmodels 0.15.0 has none and firthlogist is not installed), and this package does not ship an unvalidated one. Recorded as not done rather than approximated."
