family,rater_a,rater_b,n,n_excluded,po,pe,kappa,boot_ci_low,boot_ci_high,n_boot,seed,landis_koch,method,note
descriptive,A1 (author),model:claude-sonnet-5,70,0,0.757143,0.251837,0.675396,0.535141,0.805717,10000,20260920,substantial,cohen_kappa,"Cohen (1960) kappa on one label per case; interval is a percentile bootstrap over cases (one case = one unit), so it reflects sampling of these 70 emails and not annotator variance; band names are Landis & Koch (1977) Table 1, a convention for reading the number, not a test"
descriptive,A2 (outside),model:claude-haiku-4-5,70,0,0.857143,0.249388,0.809679,0.694573,0.904684,10000,20260920,almost perfect,cohen_kappa,"Cohen (1960) kappa on one label per case; interval is a percentile bootstrap over cases (one case = one unit), so it reflects sampling of these 70 emails and not annotator variance; band names are Landis & Koch (1977) Table 1, a convention for reading the number, not a test"
descriptive,A2 (outside),model:claude-sonnet-5,70,0,0.857143,0.248571,0.809886,0.694823,0.904528,10000,20260920,almost perfect,cohen_kappa,"Cohen (1960) kappa on one label per case; interval is a percentile bootstrap over cases (one case = one unit), so it reflects sampling of these 70 emails and not annotator variance; band names are Landis & Koch (1977) Table 1, a convention for reading the number, not a test"
descriptive,A3 (outside),model:claude-haiku-4-5,70,0,0.828571,0.251837,0.770867,0.639664,0.883463,10000,20260920,substantial,cohen_kappa,"Cohen (1960) kappa on one label per case; interval is a percentile bootstrap over cases (one case = one unit), so it reflects sampling of these 70 emails and not annotator variance; band names are Landis & Koch (1977) Table 1, a convention for reading the number, not a test"
descriptive,A3 (outside),model:claude-sonnet-5,70,0,0.857143,0.252245,0.808952,0.692223,0.904162,10000,20260920,almost perfect,cohen_kappa,"Cohen (1960) kappa on one label per case; interval is a percentile bootstrap over cases (one case = one unit), so it reflects sampling of these 70 emails and not annotator variance; band names are Landis & Koch (1977) Table 1, a convention for reading the number, not a test"
descriptive,gold v2 (panel),model:claude-haiku-4-5,70,0,0.885714,0.252245,0.847162,0.734273,0.941877,10000,20260920,almost perfect,cohen_kappa,"Cohen (1960) kappa on one label per case; interval is a percentile bootstrap over cases (one case = one unit), so it reflects sampling of these 70 emails and not annotator variance; band names are Landis & Koch (1977) Table 1, a convention for reading the number, not a test"
descriptive,gold v2 (panel),model:claude-sonnet-5,70,0,0.885714,0.252245,0.847162,0.735350,0.941748,10000,20260920,almost perfect,cohen_kappa,"Cohen (1960) kappa on one label per case; interval is a percentile bootstrap over cases (one case = one unit), so it reflects sampling of these 70 emails and not annotator variance; band names are Landis & Koch (1977) Table 1, a convention for reading the number, not a test"
descriptive,panel: A1 (author) + A2 (outside) + A3 (outside),(3 human raters),70,0,0.766667,0.255374,0.686644,0.577516,0.783071,10000,20260920,substantial,fleiss_kappa,"across the three human annotators of docs/PREREGISTRATION.md section 9; interval is the same percentile bootstrap over cases as every other row here; band names are Landis & Koch (1977) Table 1, a convention for reading the number, not a test; Fleiss kappa reproduces Randolph (2005) Tables 1 and 2 (ERIC ED490661), including the -0.2 the free-marginal coefficient reads as +0.33; Krippendorff alpha (nominal) reproduces the 4-observers-by-12-units example of Krippendorff (2011), alpha = .743, together with its printed margins. Both checks run in experiments/stats.py"
descriptive,panel: A1 (author) + A2 (outside) + A3 (outside),(3 human raters),70,0,0.657143,,,0.542857,0.771429,10000,20260920,,three_way_exact_agreement,"po is the share of cases all three annotators labelled identically, chance agreement not removed; the kappa column is empty because this row is a raw rate. across the three human annotators of docs/PREREGISTRATION.md section 9; interval is the same percentile bootstrap over cases as every other row here"
descriptive,panel: A1 (author) + A2 (outside) + A3 (outside),(3 human raters),70,0,0.766667,0.251811,0.688136,0.579528,0.784104,10000,20260920,,krippendorff_alpha_nominal,"across the three human annotators of docs/PREREGISTRATION.md section 9; interval is the same percentile bootstrap over cases as every other row here; po and pe are 1 - observed disagreement and 1 - expected disagreement, so the kappa column reads (po - pe) / (1 - pe) for this row as well; no Landis & Koch band is quoted because that convention was published for kappa; Fleiss kappa reproduces Randolph (2005) Tables 1 and 2 (ERIC ED490661), including the -0.2 the free-marginal coefficient reads as +0.33; Krippendorff alpha (nominal) reproduces the 4-observers-by-12-units example of Krippendorff (2011), alpha = .743, together with its printed margins. Both checks run in experiments/stats.py"
