family,exp_id,prompt_version,metric,unit,stratum_kind,stratum,n,k,estimate,wilson_lo,wilson_hi,ci_width,n_rest,k_rest,estimate_rest,difference,fisher_p,p_bh,n_in_bh_family,n_excluded_tie,ci_method,test,note
sensitivity_gold_v2,e1_v2b,v2b,category_match,case,language,mixed,7,7,1.000000,0.645670,1.000000,0.354330,63,56,0.888889,0.111111,1.000000,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; members are the consecutive block case-064..case-070, written as one quota fill rather than drawn across the dataset"
sensitivity_gold_v2,e1_v2b,v2b,category_match,case,difficulty,easy,45,44,0.977778,0.884333,0.996066,0.111733,25,19,0.760000,0.217778,0.007049,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; 45 cases, not a consecutive block"
sensitivity_gold_v2,e1_v2b,v2b,category_match,case,difficulty,ambiguous,17,15,0.882353,0.656636,0.967120,0.310484,53,48,0.905660,-0.023307,1.000000,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; 17 cases, not a consecutive block"
sensitivity_gold_v2,e1_v2b,v2b,category_match,case,difficulty,edge,8,4,0.500000,0.215216,0.784784,0.569568,62,59,0.951613,-0.451613,0.002298,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; members: case-012, case-015, case-020, case-025, case-034, case-043, case-055, case-068"
sensitivity_gold_v2,e1_v2b,v2b,category_match,case,category,billing,20,18,0.900000,0.698966,0.972134,0.273167,50,45,0.900000,0.000000,1.000000,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; 20 cases, not a consecutive block"
sensitivity_gold_v2,e1_v2b,v2b,category_match,case,category,technical,20,19,0.950000,0.763869,0.991119,0.227250,50,44,0.880000,0.070000,0.664187,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; 20 cases, not a consecutive block"
sensitivity_gold_v2,e1_v2b,v2b,category_match,case,category,general,16,12,0.750000,0.505017,0.898179,0.393162,54,51,0.944444,-0.194444,0.043242,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; 16 cases, not a consecutive block"
sensitivity_gold_v2,e1_v2b,v2b,category_match,case,category,account,14,14,1.000000,0.784689,1.000000,0.215311,56,49,0.875000,0.125000,0.330849,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; 14 cases, not a consecutive block"
sensitivity_gold_v2,e1_v2c,v2c,category_match,case,overall,all,70,55,0.785714,0.676088,0.865613,0.189525,,,,,,,,0,wilson,,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a descriptive row; one outcome per case, repeats collapsed by majority vote (docs/PREREGISTRATION.md section 10.4), so n is a count of emails, not of calls"
sensitivity_gold_v2,e1_v2c,v2c,category_match,case,language,zh-tw,35,28,0.800000,0.641084,0.899576,0.258492,35,27,0.771429,0.028571,1.000000,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; members are the consecutive block case-001..case-035, written as one quota fill rather than drawn across the dataset"
sensitivity_gold_v2,e1_v2c,v2c,category_match,case,language,en,28,21,0.750000,0.566443,0.873235,0.306792,42,34,0.809524,-0.059524,0.566726,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; members are the consecutive block case-036..case-063, written as one quota fill rather than drawn across the dataset"
sensitivity_gold_v2,e1_v2c,v2c,category_match,case,language,mixed,7,6,0.857143,0.486872,0.974320,0.487448,63,49,0.777778,0.079365,1.000000,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; members are the consecutive block case-064..case-070, written as one quota fill rather than drawn across the dataset"
sensitivity_gold_v2,e1_v2c,v2c,category_match,case,difficulty,easy,45,37,0.822222,0.686702,0.907056,0.220354,25,18,0.720000,0.102222,0.369575,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; 45 cases, not a consecutive block"
sensitivity_gold_v2,e1_v2c,v2c,category_match,case,difficulty,ambiguous,17,14,0.823529,0.589705,0.938089,0.348383,53,41,0.773585,0.049945,1.000000,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; 17 cases, not a consecutive block"
sensitivity_gold_v2,e1_v2c,v2c,category_match,case,difficulty,edge,8,4,0.500000,0.215216,0.784784,0.569568,62,51,0.822581,-0.322581,0.058485,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; members: case-012, case-015, case-020, case-025, case-034, case-043, case-055, case-068"
sensitivity_gold_v2,e1_v2c,v2c,category_match,case,category,billing,20,19,0.950000,0.763869,0.991119,0.227250,50,36,0.720000,0.230000,0.050856,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; 20 cases, not a consecutive block"
sensitivity_gold_v2,e1_v2c,v2c,category_match,case,category,technical,20,19,0.950000,0.763869,0.991119,0.227250,50,36,0.720000,0.230000,0.050856,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; 20 cases, not a consecutive block"
sensitivity_gold_v2,e1_v2c,v2c,category_match,case,category,general,16,8,0.500000,0.279996,0.720004,0.440009,54,47,0.870370,-0.370370,0.003606,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; 16 cases, not a consecutive block"
sensitivity_gold_v2,e1_v2c,v2c,category_match,case,category,account,14,9,0.642857,0.387644,0.836553,0.448908,56,46,0.821429,-0.178571,0.160683,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; 14 cases, not a consecutive block"
sensitivity_gold_v2,e1_v2d,v2d,category_match,case,overall,all,70,62,0.885714,0.790358,0.940939,0.150581,,,,,,,,0,wilson,,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a descriptive row; one outcome per case, repeats collapsed by majority vote (docs/PREREGISTRATION.md section 10.4), so n is a count of emails, not of calls"
