case_id,email_body,your_label,notes
case-050,We tried to set up SSO and got an error saying our domain is already claimed by another NebulaDesk account. We only have one account that we know of -- could this be a leftover from an old trial someone on our team signed up for?,account,
case-011,我們有一位客服專員上週離職了，他的帳號裡還有一些之前處理到一半的工單紀錄，想請問要怎麼把他的帳號權限跟工單轉移給接手的新同事？,account,
case-044,"If we add 5 more agent seats halfway through our billing month, are we charged the full seat price immediately or prorated for the remaining days? Trying to budget correctly before we invite the new hires.",billing,
case-046,"We're trying to remove a former employee from our team member list, but the 'Remove' button is greyed out. He still shows as 'Active' even though we deactivated his SSO account on our end weeks ago.",technical,
case-002,你好，我在串接 Webhook 通知的時候發現官方文件裡貼的 API 範例連結是 404，想確認一下是不是文件網址改版了，還是我要用哪個新的端點？我們這邊的整合工程師卡住了。,technical,
case-054,We enabled mandatory 2FA for the whole workspace this morning and now half the team can't get past the QR code screen -- it just says 'invalid code' no matter what we enter. Can you help us troubleshoot or temporarily disable the requirement?,technical,
case-055,It would be great if tickets just... worked properly. Not sure what else to say.,general,
case-001,您好，我們公司上個月合併之後統編跟公司抬頭都變了，這個月的發票還是開舊的名稱，麻煩幫我們之後的訂閱發票抬頭改成「星曜雲端股份有限公司」，統編也附上：12345678，謝謝。,billing,
case-007,我忘記密碼了，點忘記密碼的信件一直沒收到，麻煩幫我重設，帳號是 lin.admin@skycloud.com.tw，謝謝。,account,
case-053,"All the response-time charts on our dashboard seem to be in UTC, but our whole team is in Taipei. Is there a timezone setting we're missing, or does the reporting module not support local timezones yet?",general,
case-020,"你們官網寫方案 US$49/月，結帳頁卻跳出 NT$1,680，這樣到底是划算還是坑人？麻煩解釋一下匯率是怎麼算的，不然我們很難跟老闆交代。",billing,
case-064,Hi 你好，我們的 invoice 這個月的 due date 是幾號？我看 billing portal 上面沒有寫清楚，麻煩 confirm 一下，謝謝！,billing,
case-062,I need to update the email address tied to my account -- I'm switching from my old personal email to my new work email before our IT team locks down external logins. What's the process?,account,
case-003,我們昨天邀請新同事加入團隊，結果他登入的時候顯示「已達方案人數上限，請聯絡管理員」。我是管理員，但後台的成員管理頁面又顯示還有名額，想請你們確認到底是帳號設定的問題還是我們方案本身要升級。,account,
case-032,我們這批新進客服大概 8 個人，下週要上線，想請問有沒有現成的教育訓練影片或是可以安排一場線上教學，讓他們快速上手 NebulaDesk？,general,
case-009,上禮拜信用卡到期換卡了，這個月扣款失敗，結果整個帳號直接被降到免費版，連我們正在處理中的客訴工單都看不到內容了。麻煩盡快處理，這樣我們沒辦法回覆客戶，會出大事。,billing,
case-026,這兩天後台載入工單列表明顯變慢，之前大概 1 秒就跑出來，現在要 5-6 秒，我們同事都有反映，想知道是不是你們那邊在做維護或是有已知的效能問題。,technical,
case-034,我門的系統一直讀取ㄓㄨㄥ，工單頁面卡在轉圈圈超過五分鐘還沒好，是不是你們主機又秀逗了？拜託快點修好謝謝。,technical,
case-059,"Does NebulaDesk have any native integration with Linear for engineering escalations, or would we need to build something custom with the API?",general,
case-045,"When we try to export ticket data for a full quarter (about 40k tickets), the export just spins and eventually times out. Exporting a single month works fine. Is there a size limit we're hitting?",technical,
case-027,我們資安部門要求所有 SaaS 工具都要開啟雙因素驗證（2FA），想請問 NebulaDesk 的後台要怎麼設定強制全team 開啟 2FA？,general,
case-030,我們串接的 CRM 資料同步到 NebulaDesk，正常應該是即時的，但這兩天發現客戶資料要等 15-20 分鐘才會出現在工單裡，這樣客服回覆的時候常常看不到最新狀態。,technical,
case-041,"Every weekday around 9am our integration starts throwing 429 rate-limit errors on the ticket-creation endpoint, then clears up by 9:30. Is our current plan's rate limit just too low for our ticket volume, or is there a burst allowance we're not configuring correctly?",technical,
case-052,"We signed up for the Business plan expecting to onboard a bigger team, but we've only been using about 15% of the seats for three months now. What's the process to downgrade to Starter without losing our historical data?",billing,
case-018,我們照著文件設定 Google Workspace SSO，儲存的時候一直跳「網域驗證失敗」，DNS 的 TXT 紀錄我們已經加了 24 小時了，還是一樣，麻煩幫忙看一下是不是後台那邊的問題。,technical,
case-028,想寫信謝謝你們上週幫我們處理的緊急支援，客服人員在半夜還在線上協助我們排除問題，真的救了我們一次上線危機，辛苦了！,general,
case-012,又當機了，太棒了。,general,
case-051,"Honestly, your pricing page is really hard to parse -- I can't tell what's included in Pro vs Business without opening three different tooltips. Could someone just send me a plain comparison table?",billing,
case-016,我們公司客服團隊大概 50 人，想了解一下企業方案（Enterprise）的報價方式，還有是否有專屬客戶成功經理。,general,
case-035,目前我們帳號只有我一個人是管理員身分，想請問要怎麼再指定一位同事也擔任管理員，這樣我休假的時候他也可以處理帳號設定的事情。,account,
case-040,"We meant to click 'upgrade to Pro' but ended up on the annual Enterprise plan instead and got charged $3,600 today. This was purely a UI mis-click on our end -- could we get this refunded and switched back to our previous monthly Pro plan?",billing,
case-036,"Hi team, we recently moved offices and need our billing address updated on file before the next invoice goes out. New address: 4th Floor, 88 King Street, Toronto, ON. Can you confirm once it's changed?",billing,
case-066,麻煩幫我把我的 role 從 agent 升成 admin，我們主管 approve 了，這是他的信 forward 附在下面，謝謝協助！,account,
case-033,我們的 14 天試用快到期了，但這禮拜團隊在忙年度稽核沒空好好測試，想請問可不可以延長試用期，或是先暫緩自動轉正式訂閱扣款？,billing,
case-039,Small ask from our night-shift support team: any plans to add a dark mode to the agent dashboard? A few of them have mentioned eye strain during long shifts.,general,
case-037,"We just rotated our webhook signing secret in the NebulaDesk dashboard, and now every incoming webhook fails our HMAC signature check on our end. Did the payload format change recently, or is this something on our side?",technical,
case-043,"Cool, another outage. Love it.",general,
case-029,我們收到續約通知，價格比去年漲了快 20%，官網上完全沒公告漲價，想請你們說明一下這次調漲的原因，我們財務那邊需要一個合理的說法才能簽核。,billing,
case-038,"I changed my own role from Owner to Admin by mistake while cleaning up permissions, and now I can't access billing settings or invite new admins. Nobody else on the team has Owner access either. Can someone restore Owner permissions on my account?",account,
case-069,我們 IT 部門在 setup SSO 的時候，metadata file upload 一直失敗，錯誤訊息只寫 'invalid certificate format'，但我們是直接從 Okta 匯出的標準 XML，想請你們 check 一下是不是 parser 那邊有問題。,technical,
case-056,Our accounting department needs a signed W-9 on file for you as a vendor before they can process this year's payment. Could someone from billing send that over?,billing,
case-031,我們想從 Pro 降到 Starter 方案省成本，但擔心降級後過去兩年累積的工單歷史紀錄會不會被刪掉？這些資料對我們做客訴分析很重要。,technical,
case-065,我們的 API integration 昨天開始一直回傳 500 error，但 sandbox environment 測試完全正常，只有 production 會這樣，你們那邊 server 是不是有 deploy 什麼更新？,technical,
case-048,"Our sales rep quoted us EUR 1,200/year, but the invoice that came through is billed in USD at what looks like a slightly unfavorable exchange rate. Can billing confirm which currency our contract is actually locked to?",billing,
case-014,我們串接的 Zapier 自動化，設定成新工單建立時同步到 Slack，大概十次裡有兩三次不會觸發，沒有規律，不知道是 NebulaDesk 這邊 webhook 不穩定，還是 Zapier 那邊的問題。,technical,
case-021,我們參加你們研討會拿到的九折優惠碼 NEBULA2026，結帳的時候輸入顯示「代碼無效」，但研討會的人說到月底都可以用，麻煩確認一下代碼是不是設定錯誤。,general,
case-049,None of our agents have received push notifications for new tickets on the mobile app since Tuesday's update. Notifications are enabled in both the app and iOS settings. This is a big problem for our after-hours on-call rotation.,general,
case-006,我們每週都會匯出客服工單報表存檔，但這禮拜匯出的 CSV 裡總工單數是 842，跟後台儀表板顯示的 861 對不起來，差了快 20 筆。想請你們技術團隊確認是匯出功能的 bug，還是統計口徑本來就不一樣。,technical,
