case_id,email_body,reference_summary,verdict(ok/edit),your_edit,notes
case-033,我們的 14 天試用快到期了，但這禮拜團隊在忙年度稽核沒空好好測試，想請問可不可以延長試用期，或是先暫緩自動轉正式訂閱扣款？,客戶請求延長試用期或暫緩試用到期後的自動轉正式訂閱扣款。,ok,,
case-039,Small ask from our night-shift support team: any plans to add a dark mode to the agent dashboard? A few of them have mentioned eye strain during long shifts.,Customer requests a dark mode option for the agent dashboard.,ok,,
case-037,"We just rotated our webhook signing secret in the NebulaDesk dashboard, and now every incoming webhook fails our HMAC signature check on our end. Did the payload format change recently, or is this something on our side?",Customer reports webhook signature verification failures after rotating the signing secret.,ok,,
case-043,"Cool, another outage. Love it.",Customer sarcastically comments on an apparent service outage.,ok,,
case-029,我們收到續約通知，價格比去年漲了快 20%，官網上完全沒公告漲價，想請你們說明一下這次調漲的原因，我們財務那邊需要一個合理的說法才能簽核。,客戶對續約價格調漲近 20% 表示不解，要求說明調漲原因以利內部簽核。,ok,,
case-038,"I changed my own role from Owner to Admin by mistake while cleaning up permissions, and now I can't access billing settings or invite new admins. Nobody else on the team has Owner access either. Can someone restore Owner permissions on my account?","Customer accidentally downgraded their own role and lost access to owner-level settings, with no other Owner on the team, blocking billing access too.",ok,,
case-069,我們 IT 部門在 setup SSO 的時候，metadata file upload 一直失敗，錯誤訊息只寫 'invalid certificate format'，但我們是直接從 Okta 匯出的標準 XML，想請你們 check 一下是不是 parser 那邊有問題。,客戶在設定 SSO 時上傳 Okta 匯出的 metadata 檔案持續失敗，錯誤訊息顯示憑證格式無效，懷疑是解析器問題。,ok,,
case-056,Our accounting department needs a signed W-9 on file for you as a vendor before they can process this year's payment. Could someone from billing send that over?,Customer's accounting team requests a signed W-9 form to process vendor payment.,ok,,
case-031,我們想從 Pro 降到 Starter 方案省成本，但擔心降級後過去兩年累積的工單歷史紀錄會不會被刪掉？這些資料對我們做客訴分析很重要。,客戶詢問方案降級是否會影響歷史工單資料的保存。,ok,,
case-065,我們的 API integration 昨天開始一直回傳 500 error，但 sandbox environment 測試完全正常，只有 production 會這樣，你們那邊 server 是不是有 deploy 什麼更新？,客戶反映 production 環境的 API 整合出現 500 錯誤，sandbox 測試正常，懷疑近期有伺服器更新導致。,ok,,
case-048,"Our sales rep quoted us EUR 1,200/year, but the invoice that came through is billed in USD at what looks like a slightly unfavorable exchange rate. Can billing confirm which currency our contract is actually locked to?",Customer flags a currency discrepancy between the sales quote (EUR) and the actual invoice (USD).,ok,,
case-014,我們串接的 Zapier 自動化，設定成新工單建立時同步到 Slack，大概十次裡有兩三次不會觸發，沒有規律，不知道是 NebulaDesk 這邊 webhook 不穩定，還是 Zapier 那邊的問題。,客戶反映 Zapier 整合的新工單通知偶發性未觸發，成因待釐清。,ok,,
case-021,我們參加你們研討會拿到的九折優惠碼 NEBULA2026，結帳的時候輸入顯示「代碼無效」，但研討會的人說到月底都可以用，麻煩確認一下代碼是不是設定錯誤。,客戶反映活動優惠碼結帳時顯示無效，但主辦方告知仍在有效期內。,ok,,
case-049,None of our agents have received push notifications for new tickets on the mobile app since Tuesday's update. Notifications are enabled in both the app and iOS settings. This is a big problem for our after-hours on-call rotation.,"Customer reports mobile push notifications have stopped since a recent app update, despite correct settings.",ok,,
case-006,我們每週都會匯出客服工單報表存檔，但這禮拜匯出的 CSV 裡總工單數是 842，跟後台儀表板顯示的 861 對不起來，差了快 20 筆。想請你們技術團隊確認是匯出功能的 bug，還是統計口徑本來就不一樣。,客戶反映匯出報表的工單總數與後台儀表板數字不一致，懷疑匯出功能有誤。,ok,,
